team,elo
Alcorn State Braves,1492.889670387923
San Diego Toreros,1492.8612768884514
Detroit Mercy Titans,1492.732508203945
Green Bay Phoenix,1492.687113794804
Kent State Golden Flashes,1492.6827279643067
Long Island University Sharks,1492.6100010474158
VCU Rams,1492.5811772127634
New Haven Chargers,1492.4329602933071
East Texas A&M Lions,1492.301365181107
Creighton Bluejays,1492.29244242476
Cincinnati Bearcats,1492.2916432012255
East Tennessee State Buccaneers,1492.0427387001362
NJIT Highlanders,1492.0193708140107
Davidson Wildcats,1491.9327305426075
Presbyterian Blue Hose,1491.8831046859016
Norfolk State Spartans,1491.8647811928422
Chattanooga Mocs,1491.8580195805184
Southern Jaguars,1491.8275914303695
North Carolina Central Eagles,1491.3851435170996
UMass Lowell River Hawks,1491.2673928289753
UT Rio Grande Valley Vaqueros,1491.2670638435982
Utah Tech Trailblazers,1491.1580993979915
UTSA Roadrunners,1491.132663171781
Fresno State Bulldogs,1491.119878179431
Delaware Blue Hens,1491.1018369108558
Buffalo Bulls,1491.0935398671843
Duquesne Dukes,1491.091183517157
Idaho State Bengals,1490.9703510730585
Bellarmine Knights,1490.88684772301
Kennesaw State Owls,1490.881699351019
Rice Owls,1490.82849297637
West Georgia Wolves,1490.807814950977
Maryland Eastern Shore Hawks,1490.6223820136584
Maine Black Bears,1490.615545166245
Lehigh Mountain Hawks,1490.5752495903507
San José State Spartans,1490.5750112778453
North Carolina A&T Aggies,1490.5358773333292
California Golden Bears,1490.4206088287124
Omaha Mavericks,1490.3876486378667
Wagner Seahawks,1490.3444923344648
Tarleton State Texans,1490.3410649616226
South Dakota Coyotes,1490.3050964473446
Pennsylvania Quakers,1490.294500751286
Southern Miss Golden Eagles,1490.2879419662922
Bucknell Bison,1490.28774368332
Sam Houston Bearkats,1490.28774368332
Holy Cross Crusaders,1490.28774368332
Coe Kohawks,1490.28774368332
New Mexico State Aggies,1490.2794684162
Utah State Aggies,1490.2794617562658
Texas A&M-Corpus Christi Islanders,1490.152711050351
North Alabama Lions,1490.0082748727182
Dominican (IL) Dominican,1490.0
Cleary University Cougars,1490.0
Bradley Braves,1490.0
Columbia College (SC) Fighting Koalas,1490.0
Lyon Scots,1490.0
WVU Tech Golden Bears,1490.0
Jacksonville State Gamecocks,1490.0
New Mexico Highlands Cowboys,1490.0
Rhodes Lynx,1490.0
Central State (OH) Marauders,1490.0
Southern Wesleyan Warriors,1490.0
Ecclesia Royals,1490.0
Albany St (GA) Golden Rams,1490.0
Minnesota Crookston Golden Eagles,1490.0
St. Xavier  (IL) Cougars,1490.0
Apprentice School Builders,1490.0
Warren Wilson Owls,1490.0
Kentucky Christian Knights,1490.0
Chicago State Cougars,1489.8392459221277
Morehouse Maroon Tigers,1489.7739628203342
West Coast Baptist Eagles,1489.7442964384095
Mercer Bears,1489.7421320003004
Saint Joseph's Hawks,1489.7377241612112
Troy Trojans,1489.7285561198653
Bryan (TN) Lions,1489.7202935886505
Georgia Southern Eagles,1489.713339338894
Temple Owls,1489.71225631668
Nevada Wolf Pack,1489.71225631668
Manor College Blue Jays,1489.71225631668
Louisiana Christian Wildcats,1489.71225631668
Lafayette Leopards,1489.71225631668
Drake Bulldogs,1489.71225631668
Oakland City Mighty Oaks,1489.71225631668
Ozark Christian Ambassadors,1489.71225631668
Campbellsville Tigers,1489.71225631668
Bryant & Stratton (Ohio) Bobcats,1489.6831814884597
Oral Roberts Golden Eagles,1489.5873150601694
Drexel Dragons,1489.5219836587314
Delaware State Hornets,1489.4713794728557
Elms College Blazers,1489.46409966776
Elizabeth City State Vikings,1489.463089740424
Arizona State Sun Devils,1489.3886530038194
Alabama State Hornets,1489.3159215563733
Marist Red Foxes,1489.0208572046727
Xavier Musketeers,1488.6227825203862
Purdue Fort Wayne Mastodons,1488.3927043897572
Washington State Cougars,1487.832652507502
Santa Clara Broncos,1487.804356143641
Butler Bulldogs,1487.5518274846288
Seattle U Redhawks,1486.9555924758654
Pacific Tigers,1486.714663512296
Indiana Hoosiers,1486.4687063703157
Bethune-Cookman Wildcats,1486.1030053469156
Abilene Christian Wildcats,1485.736446362464
Houston Christian Huskies,1484.4330454595479
SMU Mustangs,1484.4062298664162
La Salle Explorers,1484.0858423611512
East Carolina Pirates,1484.0700443422875
Eastern Michigan Eagles,1483.8617731139743
Villanova Wildcats,1483.3924611466275
NC State Wolfpack,1483.1602265648748
South Carolina State Bulldogs,1483.087076598631
Massachusetts Minutemen,1482.6561417436938
Western Michigan Broncos,1482.4608073177603
St. Bonaventure Bonnies,1481.8946814213714
Toledo Rockets,1481.7660307734538
Northern Colorado Bears,1481.5470723950095
Northern Illinois Huskies,1481.4048632464096
