team,elo,net_rank,games_played,elo_prior,w,elo_final
Utah Valley Wolverines,1508.693597586803,82.0,3,1583.2417582417584,0.23076923076923078,1566.0383365521534
Illinois State Redbirds,1528.5983548271363,90.0,3,1576.6483516483518,0.23076923076923078,1565.5598908434558
Auburn Tigers,1531.7821038335817,35.0,17,1621.978021978022,0.6296296296296297,1565.1879994426336
Sam Houston Bearkats,1490.28774368332,95.0,1,1572.5274725274726,0.09090909090909091,1565.0511335416404
Texas A&M Aggies,1461.2216217724108,42.0,5,1616.2087912087911,0.3333333333333333,1564.5464013966646
Liberty Flames,1519.131138874426,94.0,2,1573.3516483516482,0.16666666666666666,1564.3148967721113
Colorado State Rams,1508.589136001267,88.0,3,1578.2967032967033,0.23076923076923078,1562.2103416131408
TCU Horned Frogs,1496.9365884262436,46.0,8,1612.9120879120878,0.4444444444444444,1561.3674214739349
Hofstra Pride,1511.141773125845,91.0,3,1575.8241758241759,0.23076923076923078,1560.8974675091763
George Mason Patriots,1509.7206759050823,103.0,1,1565.934065934066,0.09090909090909091,1560.823757749613
UNC Wilmington Seahawks,1519.17080029487,89.0,4,1577.4725274725274,0.2857142857142857,1560.8148911360538
California Golden Bears,1490.4206088287124,58.0,6,1603.021978021978,0.375,1560.7964645745033
Wyoming Cowboys,1500.7973708830486,96.0,2,1571.7032967032967,0.16666666666666666,1559.885642399922
Stanford Cardinal,1516.6692987439867,74.0,7,1589.835164835165,0.4117647058823529,1559.7080435035032
Murray State Racers,1519.1862880120968,101.0,2,1567.5824175824175,0.16666666666666666,1559.516395987364
St. John's Red Storm,1589.12811969909,,20,1500.0,0.6666666666666666,1559.41874646606
West Virginia Mountaineers,1493.1342372615077,65.0,6,1597.2527472527472,0.375,1558.2083060060324
Oklahoma Sooners,1480.7591411921371,66.0,5,1596.4285714285713,0.3333333333333333,1557.8720946830936
Butler Bulldogs,1487.5518274846288,79.0,4,1585.7142857142858,0.2857142857142857,1557.667869077241
Missouri Tigers,1503.4782993421284,59.0,9,1602.1978021978023,0.47368421052631576,1555.4359324240622
George Washington Revolutionaries,1471.6947688347616,86.0,3,1579.945054945055,0.23076923076923078,1554.9642196888335
Iowa Hawkeyes,1479.2681535399945,27.0,10,1628.5714285714287,0.5,1553.9197910557116
Cincinnati Bearcats,1492.2916432012255,54.0,9,1606.3186813186812,0.47368421052631576,1552.3058737893602
NC State Wolfpack,1483.1602265648748,28.0,11,1627.7472527472528,0.5238095238095238,1552.0111914136264
Bradley Braves,1490.0,114.0,1,1556.868131868132,0.09090909090909091,1550.789210789211
Ohio State Buckeyes,1473.242282801663,38.0,9,1619.5054945054944,0.47368421052631576,1550.2229205405215
UIC Flames,1500.28774368332,111.0,2,1559.3406593406594,0.16666666666666666,1549.498506731103
Indiana Hoosiers,1486.4687063703157,39.0,11,1618.6813186813188,0.5238095238095238,1549.427093185079
Minnesota Golden Gophers,1495.2469243129617,72.0,8,1591.4835164835165,0.4444444444444444,1548.7116977410478
Georgetown Hoyas,1479.8967914712307,99.0,3,1569.2307692307693,0.23076923076923078,1548.6152359016448
Washington Huskies,1476.1402354958966,55.0,8,1605.4945054945056,0.4444444444444444,1548.003718828457
Arizona State Sun Devils,1489.3886530038194,75.0,7,1589.010989010989,0.4117647058823529,1547.9900271256838
Pacific Tigers,1486.714663512296,110.0,2,1560.164835164835,0.16666666666666666,1547.9231398894121
Colorado Buffaloes,1472.5364612167496,70.0,6,1593.131868131868,0.375,1547.9085905386987
Davidson Wildcats,1491.9327305426075,106.0,3,1563.4615384615386,0.23076923076923078,1546.9548904802468
Xavier Musketeers,1488.6227825203862,98.0,4,1570.054945054945,0.2857142857142857,1546.788612902214
Oklahoma State Cowboys,1498.1416980923282,80.0,8,1584.89010989011,0.4444444444444444,1546.3352602022069
UAB Blazers,1480.0557437867617,112.0,2,1558.5164835164835,0.16666666666666666,1545.43969356153
UC Irvine Anteaters,1526.0884645921624,117.0,5,1554.3956043956043,0.3333333333333333,1544.9598911277903
LSU Tigers,1455.41036203654,64.0,6,1598.076923076923,0.375,1544.5769626867793
North Dakota State Bison,1519.7445249130064,124.0,2,1548.6263736263736,0.16666666666666666,1543.8127321741458
Northwestern Wildcats,1459.828816675971,69.0,6,1593.956043956044,0.375,1543.6583337260165
Providence Friars,1470.6084058740853,77.0,6,1587.3626373626373,0.375,1543.5798005544302
Florida State Seminoles,1461.5708645244038,81.0,5,1584.065934065934,0.3333333333333333,1543.2342442187573
Wake Forest Demon Deacons,1454.070411684973,67.0,6,1595.6043956043957,0.375,1542.5291516346122
UC San Diego Tritons,1509.774608055997,120.0,3,1551.923076923077,0.23076923076923078,1542.19650718452
Creighton Bluejays,1492.29244242476,84.0,8,1581.5934065934066,0.4444444444444444,1541.9040891851191
South Carolina Upstate Spartans,1472.349786935621,108.0,3,1561.8131868131868,0.23076923076923078,1541.1677868414408
Seattle U Redhawks,1486.9555924758654,121.0,2,1551.098901098901,0.16666666666666666,1540.4083496617284
Syracuse Orange,1468.499899073288,78.0,7,1586.5384615384614,0.4117647058823529,1537.9343475822134
DePaul Blue Demons,1478.9823117752087,102.0,5,1566.7582417582416,0.3333333333333333,1537.4995984305642
Notre Dame Fighting Irish,1463.5298792996548,93.0,5,1574.1758241758241,0.3333333333333333,1537.2938425504344
Ole Miss Rebels,1472.6608480155692,92.0,6,1575.0,0.375,1536.6228180058383
Rhode Island Rams,1511.796185360059,136.0,1,1538.7362637362637,0.09090909090909091,1536.2871657020632
Fresno State Bulldogs,1491.119878179431,134.0,1,1540.3846153846155,0.09090909090909091,1535.9060029114169
William & Mary Tribe,1499.4783521579404,122.0,4,1550.2747252747254,0.2857142857142857,1535.7614758127868
Washington State Cougars,1487.832652507502,128.0,2,1545.3296703296703,0.16666666666666666,1535.7468340259757
Duquesne Dukes,1499.71225631668,132.0,2,1542.032967032967,0.16666666666666666,1534.9795152469192
Winthrop Eagles,1502.120653860896,126.0,4,1546.978021978022,0.2857142857142857,1534.1616310874147
Mississippi State Bulldogs,1460.5439951958017,97.0,5,1570.8791208791208,0.3333333333333333,1534.100745651348
UNLV Rebels,1480.8985886583266,129.0,2,1544.5054945054944,0.16666666666666666,1533.9043435309666
Troy Trojans,1489.7285561198653,137.0,1,1537.9120879120878,0.09090909090909091,1533.5317668400676
Portland State Vikings,1536.7277632646376,145.0,4,1531.3186813186812,0.2857142857142857,1532.8641333032401
Navy Midshipmen,1481.3611713178043,131.0,2,1542.857142857143,0.16666666666666666,1532.6078142672532
Austin Peay Governors,1527.1191415747246,142.0,3,1533.7912087912089,0.23076923076923078,1532.2515009720203
San Francisco Dons,1478.7592289044376,127.0,3,1546.1538461538462,0.23076923076923078,1530.6012421732134
Saint Joseph's Hawks,1489.7377241612112,141.0,1,1534.6153846153845,0.09090909090909091,1530.5355973013686
Arkansas State Red Wolves,1519.434634913664,144.0,2,1532.142857142857,0.16666666666666666,1530.0248201046581
California Baptist Lancers,1473.4700740149128,113.0,5,1557.6923076923076,0.3333333333333333,1529.6182297998428
Marquette Golden Eagles,1469.5405086177316,104.0,6,1565.10989010989,0.375,1529.2713720503307
UC Santa Barbara Gauchos,1507.8885672601673,135.0,5,1539.5604395604396,0.3333333333333333,1529.0031487936824
Baylor Bears,1448.1250059447502,50.0,10,1609.6153846153845,0.5,1528.8701952800675
Robert Morris Colonials,1527.7650254354587,149.0,3,1528.021978021978,0.23076923076923078,1527.9626812712427
South Carolina Gamecocks,1471.0568775464023,108.0,6,1561.8131868131868,0.375,1527.7795708381427
Montana State Bobcats,1508.4053324031331,139.0,5,1536.2637362637363,0.3333333333333333,1526.9776016435353
Wright State Raiders,1517.0274506624116,147.0,4,1529.6703296703297,0.2857142857142857,1526.0580785252102
Maryland Eastern Shore Hawks,1490.6223820136584,140.0,3,1535.4395604395604,0.23076923076923078,1525.0971346489673
Harvard Crimson,1510.5157512376018,150.0,3,1527.1978021978023,0.23076923076923078,1523.3480981300636
St. Bonaventure Bonnies,1481.8946814213714,146.0,2,1530.4945054945056,0.16666666666666666,1522.3945348156499
Memphis Tigers,1457.4721893013657,118.0,5,1553.5714285714287,0.3333333333333333,1521.5383488147413
North Texas Mean Green,1508.4479405139143,153.0,3,1524.7252747252746,0.23076923076923078,1520.9689668303454
Pittsburgh Panthers,1462.7264122764232,123.0,5,1549.4505494505495,0.3333333333333333,1520.542503725841
Marshall Thundering Herd,1520.4919208591523,161.0,4,1518.131868131868,0.2857142857142857,1518.806168911092
Kent State Golden Flashes,1492.6827279643069,151.0,3,1526.3736263736264,0.23076923076923078,1518.5988036637832
Cornell Big Red,1492.963264794039,154.0,3,1523.901098901099,0.23076923076923078,1516.7615987225465
Valparaiso Beacons,1471.6893888561838,148.0,3,1528.8461538461538,0.23076923076923078,1515.6561311561609
Oakland City Mighty Oaks,1489.71225631668,163.0,1,1516.4835164835165,0.09090909090909091,1514.0497655592587
Utah Utes,1455.2252146214887,116.0,7,1555.2197802197802,0.4117647058823529,1514.045547326366
Kansas State Wildcats,1453.468963075261,100.0,9,1568.4065934065934,0.47368421052631576,1513.962452723331
Kennesaw State Owls,1490.881699351019,158.0,3,1520.6043956043957,0.23076923076923078,1513.7453118536164
Hawai'i Rainbow Warriors,1534.7172902176628,,6,1500.0,0.375,1513.0189838316237
Bowling Green Falcons,1500.4177333979455,165.0,4,1514.835164835165,0.2857142857142857,1510.7158987102453
Utah Tech Trailblazers,1491.1580993979917,160.0,5,1518.956043956044,0.3333333333333333,1509.690062436693
UT Arlington Mavericks,1508.555162935295,171.0,3,1509.89010989011,0.23076923076923078,1509.5820452082294
South Florida Bulls,1528.1167103632704,,5,1500.0,0.3333333333333333,1509.372236787757
Oregon Ducks,1439.7271365764866,107.0,8,1562.6373626373627,0.4444444444444444,1508.0105954991955
Boston College Eagles,1468.6342842088466,156.0,4,1522.2527472527472,0.2857142857142857,1506.9331863830614
Idaho Vandals,1480.0297543816216,162.0,4,1517.3076923076924,0.2857142857142857,1506.6568529002436
Charleston Southern Buccaneers,1528.6035598772455,,3,1500.0,0.23076923076923078,1506.6008215101335
Temple Owls,1489.71225631668,173.0,1,1508.2417582417581,0.09090909090909091,1506.557258066751
Columbia College (SC) Fighting Koalas,1490.0,174.0,1,1507.4175824175825,0.09090909090909091,1505.8341658341658
Northern Kentucky Norse,1519.1163500708435,,4,1500.0,0.2857142857142857,1505.4618143059554
Penn State Nittany Lions,1450.5272789227126,130.0,7,1543.6813186813188,0.4117647058823529,1505.3237728983634
Northern Iowa Panthers,1518.3401015911786,,4,1500.0,0.2857142857142857,1505.2400290260512
Toledo Rockets,1481.7660307734538,166.0,4,1514.010989010989,0.2857142857142857,1504.7981438002648
Oregon State Beavers,1503.9605852650348,177.0,2,1504.945054945055,0.16666666666666666,1504.7809766650516
