team,elo,net_rank,games_played,elo_prior,w,elo_final
Portland Pilots,1508.3111991891124,232.0,4,1459.6153846153845,0.2857142857142857,1473.5284744935925
Ohio Bobcats,1472.9744703649712,215.0,3,1473.6263736263736,0.23076923076923078,1473.4759344122037
Fairfield Stags,1507.8446462580223,230.0,3,1461.2637362637363,0.23076923076923078,1472.0131770316482
Wofford Terriers,1500.8382002210046,228.0,2,1462.9120879120878,0.16666666666666666,1469.2331066302406
Colgate Raiders,1472.5076593329038,224.0,3,1466.2087912087911,0.23076923076923078,1467.6623761605094
UNC Asheville Bulldogs,1499.993221421984,231.0,2,1460.4395604395604,0.16666666666666666,1467.0318372699644
Indiana State Sycamores,1472.4798156115548,226.0,3,1464.5604395604396,0.23076923076923078,1466.3879878799276
Dartmouth Big Green,1501.8525867573114,244.0,4,1449.7252747252746,0.2857142857142857,1464.6187924487135
Abilene Christian Wildcats,1485.736446362464,237.0,4,1455.4945054945056,0.2857142857142857,1464.135060028208
Saint Peter's Peacocks,1500.5601744683356,236.0,2,1456.3186813186812,0.16666666666666666,1463.6922635102903
Louisiana Tech Bulldogs,1520.2714307720112,242.0,2,1451.3736263736264,0.16666666666666666,1462.8565937733572
Texas State Bobcats,1500.5746503445464,240.0,2,1453.021978021978,0.16666666666666666,1460.9474234090726
Morehead State Eagles,1508.8228736333222,260.0,5,1436.5384615384614,0.3333333333333333,1460.6332655700817
Bethune-Cookman Wildcats,1486.1030053469156,250.0,6,1444.7802197802198,0.375,1460.2762643677306
Lindenwood Lions,1500.2839039836351,262.0,6,1434.89010989011,0.375,1459.412782675182
Radford Highlanders,1500.020310238923,243.0,2,1450.5494505494505,0.16666666666666666,1458.7945938310295
Detroit Mercy Titans,1492.732508203945,246.0,3,1448.076923076923,0.23076923076923078,1458.382058106236
San Diego Toreros,1492.8612768884514,238.0,1,1454.6703296703297,0.09090909090909091,1458.1422339628862
La Salle Explorers,1484.0858423611512,241.0,2,1452.1978021978023,0.16666666666666666,1457.5124755583604
American University Eagles,1509.987679364543,255.0,3,1440.6593406593406,0.23076923076923078,1456.6581880528488
North Dakota Fighting Hawks,1502.411492786092,273.0,6,1425.8241758241759,0.375,1454.5444196848944
Hampton Pirates,1518.5963922209512,271.0,4,1427.4725274725274,0.2857142857142857,1453.5079174006485
Purdue Fort Wayne Mastodons,1488.3927043897572,257.0,4,1439.010989010989,0.2857142857142857,1453.12005054778
Nicholls Colonels,1470.9370658344874,248.0,3,1446.4285714285713,0.23076923076923078,1452.0843778299366
Milwaukee Panthers,1462.2402353440912,247.0,4,1447.2527472527472,0.2857142857142857,1451.534886707417
Omaha Mavericks,1490.3876486378667,258.0,3,1438.1868131868132,0.23076923076923078,1450.233159829364
Presbyterian Blue Hose,1491.8831046859016,263.0,3,1434.065934065934,0.23076923076923078,1447.4083580551571
Princeton Tigers,1480.3341179126826,259.0,2,1437.3626373626373,0.16666666666666666,1444.5245507876448
Rice Owls,1490.82849297637,256.0,1,1439.8351648351647,0.09090909090909091,1444.4709219389106
Mercyhurst Lakers,1498.2658457148402,280.0,4,1420.0549450549452,0.2857142857142857,1442.400916672058
Le Moyne Dolphins,1500.0442532650702,281.0,4,1419.2307692307693,0.2857142857142857,1442.3203360977125
Delaware Blue Hens,1491.1018369108558,272.0,3,1426.6483516483518,0.23076923076923078,1441.5222328627756
UTEP Miners,1510.0,264.0,1,1433.2417582417584,0.09090909090909091,1440.2197802197802
Long Beach State Beach,1456.0660482225394,267.0,5,1430.7692307692307,0.3333333333333333,1439.201503253667
Southern Utah Thunderbirds,1480.2292734177909,278.0,4,1421.7032967032967,0.2857142857142857,1438.4250043360094
Alabama A&M Bulldogs,1538.46867180283,307.0,4,1397.8021978021977,0.2857142857142857,1437.9926189452353
UC Riverside Highlanders,1458.314563253451,276.0,7,1423.3516483516482,0.4117647058823529,1437.7481427229789
East Carolina Pirates,1484.0700443422877,270.0,2,1428.2967032967033,0.16666666666666666,1437.5922601376342
Longwood Lancers,1479.759501246524,269.0,2,1429.1208791208792,0.16666666666666666,1437.5606494751532
Sacramento State Hornets,1451.4872133431152,268.0,5,1429.9450549450548,0.3333333333333333,1437.1257744110749
Pepperdine Waves,1477.506777713729,274.0,3,1425.0,0.23076923076923078,1437.116948703168
Chattanooga Mocs,1491.8580195805184,284.0,3,1416.7582417582416,0.23076923076923078,1434.0889597172286
East Texas A&M Lions,1492.301365181107,299.0,5,1404.3956043956043,0.3333333333333333,1433.6975246574386
Northeastern Huskies,1461.1273121449317,277.0,4,1422.5274725274726,0.2857142857142857,1433.555998132461
Sacred Heart Pioneers,1510.0306592971936,293.0,3,1409.3406593406594,0.23076923076923078,1432.5768131767825
South Dakota Coyotes,1490.3050964473446,286.0,3,1415.10989010989,0.23076923076923078,1432.462630033918
Grambling Tigers,1470.9365418855518,289.0,5,1412.6373626373627,0.3333333333333333,1432.0704223867592
Mount St. Mary's Mountaineers,1508.347830634764,294.0,3,1408.5164835164835,0.23076923076923078,1431.5544866976252
Little Rock Trojans,1519.1484649500592,309.0,4,1396.1538461538462,0.2857142857142857,1431.295165809907
Georgia State Panthers,1509.74880134032,298.0,3,1405.2197802197802,0.23076923076923078,1429.3418620168277
Lehigh Mountain Hawks,1490.5752495903507,292.0,3,1410.1648351648353,0.23076923076923078,1428.7210846476464
Houston Christian Huskies,1484.433045459548,297.0,4,1406.043956043956,0.2857142857142857,1428.4408387341252
NJIT Highlanders,1492.0193708140107,310.0,5,1395.3296703296703,0.3333333333333333,1427.5595704911173
Fairleigh Dickinson Knights,1529.140541206014,333.0,5,1376.3736263736264,0.3333333333333333,1427.2959313177557
Bellarmine Knights,1490.88684772301,295.0,3,1407.6923076923076,0.23076923076923078,1426.8910476993929
Evansville Purple Aces,1481.117931171855,305.0,5,1399.4505494505495,0.3333333333333333,1426.673010024318
Tennessee Tech Golden Eagles,1473.3477141959045,302.0,5,1401.923076923077,0.3333333333333333,1425.731289347353
UMass Lowell River Hawks,1491.2673928289753,313.0,5,1392.857142857143,0.3333333333333333,1425.6605595144204
Northwestern State Demons,1498.7002352881102,291.0,2,1410.989010989011,0.16666666666666666,1425.6075483721943
Brown Bears,1479.791495460148,288.0,2,1413.4615384615386,0.16666666666666666,1424.5165312946401
Florida A&M Rattlers,1518.017641275916,323.0,4,1384.6153846153845,0.2857142857142857,1422.7303150898222
New Haven Chargers,1492.4329602933071,328.0,6,1380.4945054945056,0.375,1422.4714260440562
Norfolk State Spartans,1491.8647811928422,304.0,3,1400.2747252747254,0.23076923076923078,1421.4108920250599
Texas Southern Tigers,1498.4952015162996,316.0,4,1390.3846153846155,0.2857142857142857,1421.2733542793824
Wagner Seahawks,1490.3444923344648,311.0,3,1394.5054945054944,0.23076923076923078,1416.6221863121798
UNC Greensboro Spartans,1509.7425992805606,296.0,1,1406.868131868132,0.09090909090909091,1416.2203561783526
Stetson Hatters,1498.4808951232242,327.0,4,1381.3186813186812,0.2857142857142857,1414.7935995485504
Loyola Chicago Ramblers,1472.1627813502166,308.0,3,1396.978021978022,0.23076923076923078,1414.328351063913
Jacksonville Dolphins,1479.2438363467231,306.0,2,1398.6263736263736,0.16666666666666666,1412.0626174130987
Alabama State Hornets,1489.3159215563733,318.0,3,1388.7362637362637,0.23076923076923078,1411.9469540024427
Louisiana Ragin' Cajuns,1471.4285961362962,312.0,3,1393.6813186813188,0.23076923076923078,1411.6229980940057
Prairie View A&M Panthers,1508.6484373758478,326.0,3,1382.142857142857,0.23076923076923078,1411.3364525812394
Chicago State Cougars,1489.8392459221277,340.0,5,1370.6043956043957,0.3333333333333333,1410.3493457103064
New Hampshire Wildcats,1480.809146303367,344.0,6,1367.3076923076924,0.375,1409.8707375560703
North Florida Ospreys,1465.7154605299695,334.0,6,1375.5494505494505,0.375,1409.361704292145
UAlbany Great Danes,1509.7580107416331,331.0,3,1378.021978021978,0.23076923076923078,1408.422600957283
Oral Roberts Golden Eagles,1489.5873150601694,324.0,3,1383.7912087912089,0.23076923076923078,1408.2056948532766
Ball State Cardinals,1500.574768761954,321.0,2,1386.2637362637363,0.16666666666666666,1405.3155750134392
Cleveland State Vikings,1480.14491203105,317.0,2,1389.5604395604396,0.16666666666666666,1404.6578516388747
Jackson State Tigers,1459.1456578605969,348.0,7,1364.010989010989,0.4117647058823529,1403.1840879490628
Manhattan Jaspers,1470.56721209952,325.0,3,1382.967032967033,0.23076923076923078,1403.1824589206838
Louisiana Christian Wildcats,1489.71225631668,312.0,1,1393.6813186813188,0.09090909090909091,1402.411403920897
Saint Francis Red Flash,1471.7223734371478,353.0,6,1359.89010989011,0.375,1401.827208720249
Maine Black Bears,1490.615545166245,337.0,3,1373.076923076923,0.23076923076923078,1400.201220482151
Stonehill Skyhawks,1461.151945412611,336.0,4,1373.901098901099,0.2857142857142857,1398.8299121901025
Niagara Purple Eagles,1453.7397855187398,342.0,5,1368.956043956044,0.3333333333333333,1397.2172911436091
Alcorn State Braves,1492.889670387923,346.0,3,1365.6593406593406,0.23076923076923078,1395.020185981321
Lafayette Leopards,1489.71225631668,322.0,1,1385.4395604395604,0.09090909090909091,1394.9188964283894
Loyola Maryland Greyhounds,1479.991969741876,332.0,2,1377.1978021978023,0.16666666666666666,1394.3301634551478
Binghamton Bearcats,1471.7338746759342,360.0,5,1354.1208791208792,0.3333333333333333,1393.3252109725643
South Carolina State Bulldogs,1483.087076598631,358.0,4,1355.7692307692307,0.2857142857142857,1392.1457581490595
Canisius Golden Griffins,1499.4254204582733,343.0,2,1368.131868131868,0.16666666666666666,1390.0141268529355
Holy Cross Crusaders,1490.28774368332,330.0,1,1378.8461538461538,0.09090909090909091,1388.9772074677144
Bryant Bulldogs,1460.3044388391231,354.0,4,1359.065934065934,0.2857142857142857,1387.991221143988
Rider Broncs,1461.9152696549645,357.0,4,1356.5934065934066,0.2857142857142857,1386.6853674681374
Gardner-Webb Runnin' Bulldogs,1461.8376212101332,363.0,4,1351.6483516483518,0.2857142857142857,1383.131000094575
Bucknell Bison,1490.28774368332,338.0,1,1372.2527472527472,0.09090909090909091,1382.9832014737083
Morgan State Bears,1479.7447533632517,350.0,2,1362.3626373626373,0.16666666666666666,1381.9263233627396
The Citadel Bulldogs,1480.5823362556437,352.0,2,1360.7142857142858,0.16666666666666666,1380.6922941378455
UTSA Roadrunners,1491.132663171781,345.0,1,1366.4835164835165,0.09090909090909091,1377.8152570915404
Kansas City Roos,1479.4851906306728,356.0,2,1357.4175824175825,0.16666666666666666,1377.7621837864308
VMI Keydets,1480.3038239444872,359.0,2,1354.9450549450548,0.16666666666666666,1375.8381831116271
Coppin State Eagles,1479.4992123771706,364.0,2,1350.8241758241759,0.16666666666666666,1372.270015249675
Bryant & Stratton (Ohio) Bobcats,1489.6831814884597,354.0,1,1359.065934065934,0.09090909090909091,1370.9402292861635
Delaware State Hornets,1489.4713794728557,361.0,1,1353.2967032967033,0.09090909090909091,1365.676219312717
